date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
01/01/88,34,32,31,32,31,29,28,30,31,34,37,39,41,42,41,39,35,34,34,33,31,31,31,31
01/02/88,32,30,29,31,29,24,29,26,29,33,34,36,38,39,39,38,34,33,32,30,29,30,31,30
01/03/88,30,30,30,32,32,31,34,32,37,38,38,40,41,42,40,40,40,40,40,40,40,40,40,39
01/04/88,39,39,39,39,38,38,39,38,39,40,40,41,42,43,41,42,40,40,40,40,40,40,40,39
01/05/88,38,38,38,39,38,38,39,39,39,40,42,43,44,45,46,42,42,42,41,41,40,40,39,40
01/06/88,40,40,39,39,38,38,36,38,38,42,44,45,44,44,43,43,41,42,42,42,41,41,40,39
01/07/88,38,39,38,38,38,39,38,39,39,41,44,46,48,48,47,46,43,42,41,41,40,39,36,35
01/08/88,38,38,39,39,39,40,40,41,42,39,37,37,38,37,37,37,37,37,37,38,39,39,39,38
01/09/88,40,39,36,37,38,37,38,39,40,41,41,41,42,42,43,46,46,47,47,47,46,46,45,44
01/10/88,44,43,42,43,42,42,42,42,43,42,44,43,45,44,44,44,43,41,41,41,41,40,41,40
01/11/88,40,38,38,37,38,38,39,39,40,40,43,43,44,44,45,45,44,43,42,42,42,41,41,41
01/12/88,39,38,39,39,38,37,40,39,39,40,41,42,44,45,45,44,44,44,42,41,38,38,39,39
01/13/88,39,39,39,38,39,39,39,39,40,41,42,44,45,46,46,46,46,46,47,46,47,46,46,44
01/14/88,44,45,44,45,47,48,50,51,52,51,52,53,52,52,51,50,49,47,43,43,42,43,42,41
01/15/88,41,41,41,41,41,40,39,40,40,41,42,44,45,46,45,45,46,46,46,43,41,40,40,38
01/16/88,39,39,38,38,38,39,37,36,37,39,40,41,42,42,41,41,40,38,37,37,37,36,38,36
01/17/88,37,37,37,37,37,36,36,35,38,41,43,42,44,42,43,40,38,37,39,39,38,38,38,39
01/18/88,38,38,38,38,37,38,38,38,39,41,40,43,43,45,45,45,41,39,39,36,36,35,34,33
01/19/88,34,34,34,34,36,35,37,36,37,39,41,42,43,44,45,44,43,41,41,40,39,39,39,39
01/20/88,38,38,40,41,40,41,41,41,43,44,44,46,49,45,45,46,44,42,41,40,40,39,38,37
01/21/88,37,36,36,36,35,36,36,36,37,40,43,46,46,46,45,43,43,41,40,40,39,37,36,37
01/22/88,38,35,37,37,36,40,38,40,39,39,41,41,42,44,45,45,44,45,45,45,44,44,44,42
01/23/88,42,41,40,39,40,39,39,40,40,41,41,42,42,43,45,45,40,38,38,40,35,39,40,35
01/24/88,36,34,32,30,31,32,32,32,33,34,37,37,40,41,41,41,40,40,39,40,40,40,39,39
01/25/88,39,38,37,38,39,37,37,37,39,40,44,47,48,47,47,46,43,42,41,40,38,40,40,38
01/26/88,35,35,36,36,35,33,35,34,36,38,40,42,42,44,44,44,41,40,40,39,40,41,40,39
01/27/88,39,39,40,38,39,39,39,40,42,45,47,51,53,53,53,53,51,48,50,48,49,49,48,47
01/28/88,49,48,47,45,45,46,46,49,50,50,46,48,47,47,47,48,48,48,48,47,46,47,46,46
01/29/88,46,47,48,48,49,48,48,47,47,46,47,46,44,44,45,45,40,40,40,40,38,38,38,36
01/30/88,36,37,37,37,37,37,37,37,37,38,37,38,39,37,38,37,36,35,34,35,35,35,35,35
01/31/88,35,34,33,32,32,31,31,31,31,32,33,34,35,35,35,35,34,33,33,33,33,32,31,29
02/01/88,30,30,27,25,26,24,25,24,28,31,33,35,37,38,37,37,35,33,34,33,31,32,30,28
02/02/88,29,27,27,26,26,25,26,27,28,29,31,33,35,38,39,39,38,39,38,37,37,38,39,38
02/03/88,38,38,39,38,38,38,39,38,39,40,40,40,42,42,42,43,43,42,42,42,41,40,39,39
02/04/88,37,37,37,38,35,34,33,33,34,38,38,41,45,45,46,45,44,42,42,40,39,37,36,37
02/05/88,36,35,36,34,33,35,35,34,36,40,42,44,47,49,48,45,44,43,41,42,43,42,44,43
02/06/88,40,43,41,40,41,40,40,41,42,43,44,45,45,45,45,45,46,46,46,46,46,46,46,46
