date,year,month,day,weekday,hour,demand,temperature
1988/1/1,1988,1,1,5,1,2124,34
1988/1/1,1988,1,1,5,2,2048,32
1988/1/1,1988,1,1,5,3,1992,31
1988/1/1,1988,1,1,5,4,1981,32
1988/1/1,1988,1,1,5,5,2018,31
1988/1/1,1988,1,1,5,6,2119,29
1988/1/1,1988,1,1,5,7,2258,28
1988/1/1,1988,1,1,5,8,2434,30
1988/1/1,1988,1,1,5,9,2675,31
1988/1/1,1988,1,1,5,10,2819,34
1988/1/1,1988,1,1,5,11,2858,37
1988/1/1,1988,1,1,5,12,2771,39
1988/1/1,1988,1,1,5,13,2651,41
1988/1/1,1988,1,1,5,14,2486,42
1988/1/1,1988,1,1,5,15,2381,41
1988/1/1,1988,1,1,5,16,2368,39
1988/1/1,1988,1,1,5,17,2561,35
1988/1/1,1988,1,1,5,18,2791,34
1988/1/1,1988,1,1,5,19,2808,34
1988/1/1,1988,1,1,5,20,2770,33
1988/1/1,1988,1,1,5,21,2693,31
1988/1/1,1988,1,1,5,22,2594,31
1988/1/1,1988,1,1,5,23,2417,31
1988/1/1,1988,1,1,5,24,2219,31
1988/1/2,1988,1,2,6,1,2074,32
1988/1/2,1988,1,2,6,2,2022,30
1988/1/2,1988,1,2,6,3,2008,29
1988/1/2,1988,1,2,6,4,2050,31
1988/1/2,1988,1,2,6,5,2111,29
1988/1/2,1988,1,2,6,6,2240,24
1988/1/2,1988,1,2,6,7,2432,29
1988/1/2,1988,1,2,6,8,2711,26
1988/1/2,1988,1,2,6,9,3049,29
1988/1/2,1988,1,2,6,10,3225,33
1988/1/2,1988,1,2,6,11,3207,34
1988/1/2,1988,1,2,6,12,3039,36
1988/1/2,1988,1,2,6,13,2813,38
1988/1/2,1988,1,2,6,14,2609,39
1988/1/2,1988,1,2,6,15,2514,39
1988/1/2,1988,1,2,6,16,2505,38
1988/1/2,1988,1,2,6,17,2738,34
1988/1/2,1988,1,2,6,18,3027,33
1988/1/2,1988,1,2,6,19,3050,32
1988/1/2,1988,1,2,6,20,2975,30
1988/1/2,1988,1,2,6,21,2875,29
1988/1/2,1988,1,2,6,22,2739,30
1988/1/2,1988,1,2,6,23,2567,31
1988/1/2,1988,1,2,6,24,2368,30
1988/1/3,1988,1,3,7,1,2208,30
1988/1/3,1988,1,3,7,2,2127,30
1988/1/3,1988,1,3,7,3,2109,30
1988/1/3,1988,1,3,7,4,2114,32
1988/1/3,1988,1,3,7,5,2153,32
1988/1/3,1988,1,3,7,6,2227,31
1988/1/3,1988,1,3,7,7,2386,34
1988/1/3,1988,1,3,7,8,2631,32
1988/1/3,1988,1,3,7,9,2985,37
1988/1/3,1988,1,3,7,10,3195,38
1988/1/3,1988,1,3,7,11,3215,38
1988/1/3,1988,1,3,7,12,3114,40
1988/1/3,1988,1,3,7,13,3001,41
1988/1/3,1988,1,3,7,14,2844,42
1988/1/3,1988,1,3,7,15,2709,40
1988/1/3,1988,1,3,7,16,2653,40
1988/1/3,1988,1,3,7,17,2784,40
1988/1/3,1988,1,3,7,18,3048,40
1988/1/3,1988,1,3,7,19,3037,40
1988/1/3,1988,1,3,7,20,2944,40
1988/1/3,1988,1,3,7,21,2812,40
1988/1/3,1988,1,3,7,22,2625,40
1988/1/3,1988,1,3,7,23,2329,40
1988/1/3,1988,1,3,7,24,2073,39
1988/1/4,1988,1,4,1,1,1906,39
1988/1/4,1988,1,4,1,2,1862,39
1988/1/4,1988,1,4,1,3,1868,39
1988/1/4,1988,1,4,1,4,1913,39
1988/1/4,1988,1,4,1,5,2026,38
1988/1/4,1988,1,4,1,6,2392,38
1988/1/4,1988,1,4,1,7,2984,39
1988/1/4,1988,1,4,1,8,3296,38
1988/1/4,1988,1,4,1,9,3273,39
1988/1/4,1988,1,4,1,10,3167,40
1988/1/4,1988,1,4,1,11,3060,40
1988/1/4,1988,1,4,1,12,2958,41
1988/1/4,1988,1,4,1,13,2857,42
1988/1/4,1988,1,4,1,14,2781,43
1988/1/4,1988,1,4,1,15,2726,41
1988/1/4,1988,1,4,1,16,2766,42
1988/1/4,1988,1,4,1,17,2949,40
1988/1/4,1988,1,4,1,18,3196,40
1988/1/4,1988,1,4,1,19,3187,40
1988/1/4,1988,1,4,1,20,3076,40
1988/1/4,1988,1,4,1,21,2922,40
1988/1/4,1988,1,4,1,22,2676,40
1988/1/4,1988,1,4,1,23,2357,40
1988/1/4,1988,1,4,1,24,2059,39
1988/1/5,1988,1,5,2,1,1874,38
1988/1/5,1988,1,5,2,2,1818,38
1988/1/5,1988,1,5,2,3,1795,38
1988/1/5,1988,1,5,2,4,1826,39
1988/1/5,1988,1,5,2,5,1914,38
1988/1/5,1988,1,5,2,6,2252,38
1988/1/5,1988,1,5,2,7,2835,39
1988/1/5,1988,1,5,2,8,3157,39
1988/1/5,1988,1,5,2,9,3130,39
1988/1/5,1988,1,5,2,10,2979,40
1988/1/5,1988,1,5,2,11,2870,42
1988/1/5,1988,1,5,2,12,2697,43
1988/1/5,1988,1,5,2,13,2644,44
1988/1/5,1988,1,5,2,14,2535,45
1988/1/5,1988,1,5,2,15,2497,46
1988/1/5,1988,1,5,2,16,2542,42
1988/1/5,1988,1,5,2,17,2744,42
1988/1/5,1988,1,5,2,18,3035,42
1988/1/5,1988,1,5,2,19,3062,41
1988/1/5,1988,1,5,2,20,2967,41
1988/1/5,1988,1,5,2,21,2820,40
1988/1/5,1988,1,5,2,22,2596,40
1988/1/5,1988,1,5,2,23,2301,39
1988/1/5,1988,1,5,2,24,1999,40
1988/1/6,1988,1,6,3,1,1825,40
1988/1/6,1988,1,6,3,2,1759,40
1988/1/6,1988,1,6,3,3,1753,39
1988/1/6,1988,1,6,3,4,1785,39
1988/1/6,1988,1,6,3,5,1878,38
1988/1/6,1988,1,6,3,6,2220,38
1988/1/6,1988,1,6,3,7,2804,36
1988/1/6,1988,1,6,3,8,3137,38
1988/1/6,1988,1,6,3,9,3085,38
1988/1/6,1988,1,6,3,10,2966,42
1988/1/6,1988,1,6,3,11,2841,44
1988/1/6,1988,1,6,3,12,2693,45
1988/1/6,1988,1,6,3,13,2597,44
1988/1/6,1988,1,6,3,14,2504,44
1988/1/6,1988,1,6,3,15,2467,43
1988/1/6,1988,1,6,3,16,2509,43
1988/1/6,1988,1,6,3,17,2714,41
1988/1/6,1988,1,6,3,18,2994,42
1988/1/6,1988,1,6,3,19,3004,42
1988/1/6,1988,1,6,3,20,2921,42
1988/1/6,1988,1,6,3,21,2791,41
1988/1/6,1988,1,6,3,22,2576,41
1988/1/6,1988,1,6,3,23,2286,40
1988/1/6,1988,1,6,3,24,2005,39
1988/1/7,1988,1,7,4,1,1831,38
1988/1/7,1988,1,7,4,2,1784,39
1988/1/7,1988,1,7,4,3,1779,38
1988/1/7,1988,1,7,4,4,1803,38
1988/1/7,1988,1,7,4,5,1916,38
1988/1/7,1988,1,7,4,6,2258,39
1988/1/7,1988,1,7,4,7,2857,38
1988/1/7,1988,1,7,4,8,3198,39
